c486289	87218	1	0	gi|344215631|dbj|DF093667.1|	231369
c1808549	289857	1	4.875	gi|344216992|dbj|DF095027.1|	76569
c1808549	150350	1	6.049	gi|344216592|dbj|DF094628.1|	119898
c594145	60523	1	7.211	gi|344216538|dbj|DF094574.1|	51544
c1808549	35103	1	7.589	gi|344216740|dbj|DF094776.1|	834
c1808549	289877	1	9.229	gi|344216992|dbj|DF095027.1|	76549
c594145	11596	1	11.39	gi|344216538|dbj|DF094574.1|	93144
c594145	11596	1	11.39	gi|344216538|dbj|DF094574.1|	96263
c1210516	212297	1	14.667	gi|344216255|dbj|DF094291.1|	32895
c1210516	58542	1	16.859	gi|344216875|dbj|DF094911.1|	53238
c1470819	187333	1	17.912	gi|344216674|dbj|DF094710.1|	113040
c1210516	212286	1	18.058	gi|344216255|dbj|DF094291.1|	63486
c1210516	212286	1	18.058	gi|344216255|dbj|DF094291.1|	32878
c1509835	37207	1	21.568	gi|344216013|dbj|DF094049.1|	182523
c1509835	37208	1	21.568	gi|344216013|dbj|DF094049.1|	182522
c2034620	97756	1	23.304	gi|344215858|dbj|DF093894.1|	50813
c2034620	97756	1	23.304	gi|344215858|dbj|DF093894.1|	92424
c1470819	169097	1	24.145	gi|344216290|dbj|DF094326.1|	164442
c892540	7633	1	25.623	gi|344214045|dbj|DF096241.1|	33770
c1527580	252981	1	26.481	gi|344215910|dbj|DF093946.1|	45308
c1210516	212311	1	26.752	gi|344216255|dbj|DF094291.1|	63511
c1210516	212311	1	26.752	gi|344216255|dbj|DF094291.1|	32907
c2478899	259844	1	28.045	gi|344215652|dbj|DF093688.1|	251926
c2478899	58837	1	28.255	gi|344215652|dbj|DF093688.1|	435019
c1251121	78780	1	28.312	gi|344215979|dbj|DF094015.1|	75236
c1527580	98965	1	28.746	gi|344215910|dbj|DF093946.1|	185025
c2478899	126053	1	29.041	gi|344215652|dbj|DF093688.1|	376742
c2478899	204564	1	29.107	gi|344215652|dbj|DF093688.1|	318168
c2478899	204564	1	29.107	gi|344215652|dbj|DF093688.1|	292452
c1251121	75418	1	30.941	gi|344215979|dbj|DF094015.1|	72232
c892540	14439	1	32.097	gi|344214045|dbj|DF096241.1|	27926
c2478899	259849	1	32.163	gi|344215652|dbj|DF093688.1|	251921
c1251121	260210	1	33.277	gi|344217547|dbj|DF095582.1|	29976
c1186919	228880	1	33.464	gi|344216419|dbj|DF094455.1|	28497
c1609271	3879	1	33.575	gi|344215979|dbj|DF094015.1|	131610
c2478899	220048	1	33.868	gi|344215652|dbj|DF093688.1|	291676
c1186919	188031	1	34.483	gi|344216419|dbj|DF094455.1|	70796
c1276264	41583	1	39.847	gi|344216588|dbj|DF094624.1|	34928
c1272401	170437	1	41.181	gi|344216387|dbj|DF094423.1|	48904
c2104237	24907	1	41.918	gi|344215584|dbj|DF093620.1|	501934
c1320377	45618	1	42.289	gi|344213778|dbj|DF095972.1|	21109
c1276264	96756	1	42.566	gi|344216588|dbj|DF094624.1|	115814
c1398227	472534	1	42.879	gi|344215718|dbj|DF093754.1|	302214
c2038744	199348	1	43.107	gi|344215584|dbj|DF093620.1|	183413
c2038744	245482	1	43.483	gi|344215584|dbj|DF093620.1|	142456
c2038744	354738	1	43.864	gi|344215584|dbj|DF093620.1|	43044
c651360	69430	1	44.626	gi|344215584|dbj|DF093620.1|	404582
c2104237	23426	1	46.153	gi|344215584|dbj|DF093620.1|	500451
c2038744	90500	1	47.22	gi|344215584|dbj|DF093620.1|	312366
c2104237	362335	1	47.606	gi|344216954|dbj|DF094990.1|	57757
c2104237	392354	1	48.621	gi|344216954|dbj|DF094990.1|	31212
c605911	11288	1	49.052	gi|344216204|dbj|DF094240.1|	151842
c1399206	61627	1	51.164	gi|344214640|dbj|DF096847.1|	2700
c1451269	76429	1	52.168	gi|344216548|dbj|DF094584.1|	13948
c2430742	127170	1	52.268	gi|344216236|dbj|DF094272.1|	57367
c1240150	95123	1	52.356	gi|344215665|dbj|DF093701.1|	200729
c1451269	115163	1	53.021	gi|344215665|dbj|DF093701.1|	38396
c2430742	152033	1	53.737	gi|344216236|dbj|DF094272.1|	77733
c2303909	109213	1	53.982	gi|344216054|dbj|DF094090.1|	72784
c2430742	156857	1	54.106	gi|344214275|dbj|DF096479.1|	12801
c2430742	156836	1	54.315	gi|344214275|dbj|DF096479.1|	12782
c1576098	39117	1	54.498	gi|344215586|dbj|DF093622.1|	466428
c1451269	47835	1	55.135	gi|344216548|dbj|DF094584.1|	38632
c147367	91718	1	55.258	gi|344216214|dbj|DF094250.1|	31253
c1594382	87162	1	55.597	gi|344215665|dbj|DF093701.1|	138365
c1451269	47823	1	55.99	gi|344216548|dbj|DF094584.1|	38642
c2326104	479853	1	58.408	gi|344215586|dbj|DF093622.1|	303729
c882547	166446	1	60.733	gi|344216702|dbj|DF094738.1|	121233
c346136	50891	1	61.654	gi|344216702|dbj|DF094738.1|	29752
c346136	50894	1	61.654	gi|344216702|dbj|DF094738.1|	29758
c882547	17222	1	61.705	gi|344215981|dbj|DF094017.1|	164444
c1238682	140185	1	62.91	gi|344215981|dbj|DF094017.1|	199100
c1238682	152228	1	63.522	gi|344215981|dbj|DF094017.1|	186821
c1217446	838304	1	64.333	gi|344215569|dbj|DF093605.1|	414524
c1387864	119582	1	64.428	gi|344216847|dbj|DF094883.1|	92710
c2372555	218862	1	64.658	gi|344215933|dbj|DF093969.1|	84625
c1300534	233414	1	64.793	gi|344215762|dbj|DF093798.1|	110664
c1217446	504201	1	65.234	gi|344215569|dbj|DF093605.1|	707714
c1482596	93344	1	65.87	gi|344217070|dbj|DF095105.1|	52303
c1482596	93348	1	65.87	gi|344217070|dbj|DF095105.1|	52299
c857432	4331	1	65.876	gi|344215937|dbj|DF093973.1|	7315
c857432	4337	1	65.972	gi|344215937|dbj|DF093973.1|	7309
c1642521	24200	1	66.545	gi|344215937|dbj|DF093973.1|	155490
c1195999	212067	1	66.742	gi|344215765|dbj|DF093801.1|	12864
c2396761	555610	1	67.003	gi|344214738|dbj|DF096945.1|	6490
c1474057	1909	1	67.395	gi|344215142|dbj|DF097349.1|	535
c1217446	136783	1	67.42	gi|344215569|dbj|DF093605.1|	1028416
c1868152	252381	1	68.328	gi|344215580|dbj|DF093616.1|	553259
c1868152	289385	1	68.874	gi|344215574|dbj|DF093610.1|	86565
c1217446	732324	1	69.132	gi|344215569|dbj|DF093605.1|	515777
c1954722	62110	1	70.097	gi|344215932|dbj|DF093968.1|	179236
c1868152	574057	1	70.539	gi|344215580|dbj|DF093616.1|	229680
c1954722	117946	1	70.804	gi|344215932|dbj|DF093968.1|	126453
c2375242	56967	1	71.419	gi|344215663|dbj|DF093699.1|	443146
c2375242	501518	1	72.666	gi|344216225|dbj|DF094261.1|	118246
c2481746	59876	1	74.366	gi|344215589|dbj|DF093625.1|	311212
c1803350	638171	1	74.815	gi|344215669|dbj|DF093705.1|	248407
c1251492	39489	1	76.032	gi|344215669|dbj|DF093705.1|	62799
c1251492	39501	1	76.181	gi|344215669|dbj|DF093705.1|	62789
c852111	51538	1	76.345	gi|344216060|dbj|DF094096.1|	44250
c1883614	86028	1	77.528	gi|344216351|dbj|DF094387.1|	9022
c2050722	200432	1	78.181	gi|344215738|dbj|DF093774.1|	124710
c2050722	248870	1	78.832	gi|344215738|dbj|DF093774.1|	169604
c1951106	145637	1	79.128	gi|344215785|dbj|DF093821.1|	291702
c539116	52361	1	79.9	gi|344216223|dbj|DF094259.1|	167159
c1020856	9227	1	80.19	gi|344216223|dbj|DF094259.1|	118975
c1803350	877505	1	80.911	gi|344217168|dbj|DF095203.1|	54812
c2050722	343885	1	81.618	gi|344215738|dbj|DF093774.1|	266941
c2050722	330878	1	82.945	gi|344215738|dbj|DF093774.1|	253927
c1633648	189789	1	83.632	gi|344215785|dbj|DF093821.1|	21783
c2050722	343864	1	84.565	gi|344215738|dbj|DF093774.1|	266920
c552731	303164	1	85.647	gi|344216149|dbj|DF094185.1|	37092
c1633648	194816	1	86.021	gi|344215785|dbj|DF093821.1|	25883
c1633648	266361	1	87.597	gi|344215785|dbj|DF093821.1|	114971
c1633648	266361	1	87.597	gi|344215785|dbj|DF093821.1|	127093
c1381720	25005	1	88.79	gi|344215738|dbj|DF093774.1|	352477
c1951106	172896	1	89.477	gi|344215785|dbj|DF093821.1|	316973
c2328114	18116	1	92.786	gi|344215640|dbj|DF093676.1|	78395
c2328114	18107	1	94.04	gi|344215640|dbj|DF093676.1|	78386
c1804020	51755	1	96.741	gi|344216076|dbj|DF094112.1|	92510
c1804020	51748	1	97.492	gi|344216076|dbj|DF094112.1|	92503
c2328114	208450	1	97.616	gi|344215640|dbj|DF093676.1|	256247
c2328114	26623	1	98.059	gi|344215640|dbj|DF093676.1|	85411
c1804020	189728	1	100.033	gi|344216608|dbj|DF094644.1|	122323
